Applicant Name,Email,Phone,Domain Applied,University,Application Date,Status
Sydney Collins,tanderson@example.org,03486528168,Graphic Design,IBA Karachi,,Rejected
John Cook,UGIBSON@EXAMPLE.ORG,03396360576,Data Analytics,Not Specified,2026-07-19,Rejected
Paul Carrillo,osbornejeffery@example.net,03870831727,Web Development,Not Specified,2026-07-19,Under Review
Julia Wilson,tyronemoran@example.net,03467737826,Digital Marketing,NED University,2026-07-19,Selected
Albert Morse,barbara96@example.net,03641605297,Graphic Design,FAST NUCES,2026-07-19,Under Review
Chris Brown,shepherdmary@example.net,03182037788,Data Analytics,FAST NUCES,2026-07-19,Selected
Tracy Harrison,QCOOK@EXAMPLE.ORG,03256746807,Web Development,Not Specified,2026-07-19,Under Review
Dustin Nelson,patricia12@example.org,03362316658,Digital Marketing,Shah Abdul Latif University,2026-07-19,Selected
Kristy Reid,michelle52@example.com,03177449058,Graphic Design,IBA Karachi,2026-07-19,Under Review
Ashley Yu,bzimmerman@example.org,03849877694,Web Development,FAST NUCES,2026-07-19,Under Review
Kevin Shaw,brianromero@example.org,03191361939,Data Analytics,Not Specified,2026-07-19,Rejected
Robert Santana,charleslandry@example.net,03464743671,Web Development,Sindh University,2026-07-19,Selected
Anthony Gray,shawnrogers@example.com,03464170805,Data Analytics,LUMS,2026-07-19,Selected
Troy Liu,TERESA28@EXAMPLE.ORG,03489325288,App Development,Not Specified,2026-07-19,Rejected
Curtis Buchanan,alyssa42@example.com,03745171236,App Development,LUMS,2026-07-19,Under Review
Douglas Carlson,ANGELA83@EXAMPLE.ORG,03367837770,App Development,FAST NUCES,2026-07-19,Rejected
Linda Dodson DVM,JRIVAS@EXAMPLE.COM,03277434873,Data Analytics,LUMS,2026-07-19,Selected
Jerome Cox,hayesjeffrey@example.net,03084700766,App Development,NED University,2026-07-19,Rejected
Dwayne Gilmore,omartinez@example.net,03324808613,App Development,Mehran UET,2026-07-19,Under Review
Cristian Santos,lrobinson@example.com,03026542351,Data Analytics,Not Specified,2026-07-19,Under Review
Laura Haney,andrew64@example.org,03909743953,App Development,Not Specified,2026-07-19,Selected
Holly Gibbs,bakerdavid@example.com,03496513709,App Development,FAST NUCES,2026-07-19,Selected
Ryan Munoz,blairamanda@example.com,03184959310,Web Development,LUMS,2026-07-19,Selected
Savannah Garcia,amy50@example.com,03431713900,Graphic Design,Mehran UET,2026-07-19,Under Review
Shane Garrison,jamessellers@example.com,03433036541,Graphic Design,Mehran UET,,Under Review
Rachel Perez,CHAYES@EXAMPLE.COM,03964990913,Data Analytics,LUMS,2026-07-19,Under Review
Timothy Ramirez,dsanchez@example.net,03965075273,Data Analytics,Sindh University,2026-07-19,Rejected
Stephanie Lee,smurray@example.com,03886239240,Data Analytics,FAST NUCES,2026-07-19,Under Review
Kevin Hall,adrianzimmerman@example.org,03310518347,Data Analytics,Shah Abdul Latif University,2026-07-19,Selected
Patrick Tapia,jamesrodgers@example.com,03989413435,Data Analytics,LUMS,2026-07-19,Selected
Phillip Andrews,xbruce@example.net,03980940244,Digital Marketing,NED University,2026-07-19,Selected
Terry Williams,ccalderon@example.org,03524278680,App Development,NED University,2026-07-19,Under Review
Justin Baxter,sarayoung@example.org,03260256342,App Development,Not Specified,2026-07-19,Rejected
Allison Hill,donaldgarcia@example.net,03819600133,App Development,Not Specified,,Under Review
Brittany Harrison,matthew61@example.com,03865780913,App Development,Sindh University,2026-07-19,Selected
Victoria Wyatt,jamesshawn@example.com,03255341928,App Development,Not Specified,2026-07-19,Under Review
